,Datetime,Tweet Id,Text,Username
89,2022-06-13 07:45:35+00:00,1536253433094995968,"Savvy @realamberheard 🤣🤣🤣
.
.
.
#memes #JohnnyDepp #PiratesoftheCaribbean #IStandWithJohnnyDepp #JohnnyDeppVsAmberHeard #Legend #AmberHeardlsAnAbuser #AmberHeardIsALiar #fun #memesdaily https://t.co/oOPWE5gAn6",SadikurRahmanC3
90,2022-06-13 07:45:00+00:00,1536253285996298243,"'While most #women victims of #domesticviolence supported #JohnnyDepp, many leading female campaigners side lined with #AmberHeard. Was such complete disconnect a mere blunder? 
Well: no.'

#JohnnyDeppvAmberHeard #JohnnyDeppGotJustice 

https://t.co/tY7TJXGile",A_ThomasPoet
91,2022-06-13 07:43:37+00:00,1536252940553527300,"Camille Vasquez, lawyer for Johnny Depp, reacts to dating rumors about the actor, saying they're sexist

https://t.co/gie5hePZQw

#camillevaquez #lawyer #johnnydepp #sexist https://t.co/9I4eoyroGu",FactsWOW1
92,2022-06-13 07:41:41+00:00,1536252453196275712,"#JohnnyDeppAmberHeardTrial is not about women being abused by men in power or the #metoo movement. It exposes domestic abuse behind closed doors. #JohnnyDepp gave strength to male victims. #AmberHeard  is a public figure representing abuse, whose weapons were publically removed.",hansybansy
93,2022-06-13 07:40:24+00:00,1536252128842350595,"Who is writing this absolute drivel? Apparently we're all fearing JD's hireability and career prospects. Good grief🤦
The next movie JD stars in will be an instant success, since literal millions of us will head out to watch it to support him🤷‍♂️
https://t.co/8CCgWpxTw5
#JohnnyDepp",Malevolent_100
94,2022-06-13 07:38:59+00:00,1536251772896804864,"🍀 You deserve to give yourself the same love you're so willing to give others... 
#JohnnyDepp 
🏴‍☠️💐💝 https://t.co/YJJP79SEcj",iannmariedj
95,2022-06-13 07:38:24+00:00,1536251626494627841,"Yo, if she doesn't have $ why is she luxuriously afforded a private jet bruh? #JohnnyDepp #AmberHeardIsALiar https://t.co/nbwylmoE7C",RyanRodgersYo
96,2022-06-13 07:37:06+00:00,1536251296914841601,#DiorSauvage THE NEW ELIXIR crossed 104 Million views 👀 #JohnnyDepp 🙌 https://t.co/1qt9YpGDxb https://t.co/fOEcGnkxjY,watrundrbridge
97,2022-06-13 07:35:38+00:00,1536250930752020481,@piscesflowers please go listen to Australia recording plenty of People including #AmberHeard crying about Hurting #JohnnyDepp &amp; causing damage to the house because she was on a mixture of drugs! She doesn't want to leave! Strange considering what she allegedly happened to her!? https://t.co/Zxk76dbDXE,JasonLahme
98,2022-06-13 07:35:19+00:00,1536250851987169280,https://t.co/YSwnY7HCZQ #JohnnyDepp The man is great. 🤩🥰,nefertiti2001uk
99,2022-06-13 07:31:09+00:00,1536249800928202752,"It's #MSM and a handful of people against the whole world.

#JohnnyDeppGotJustice 
#johnnydeppwon 
#johnnydepp
#boycottaquaman2",ET_ETYe
100,2022-06-13 07:30:59+00:00,1536249758142144512,Women can make you and at the same time they can break you #JohnnyDepp #Greenwood,arab_makinta
101,2022-06-13 07:30:56+00:00,1536249747404734471,"@Eve_Barlow hiding behind sexism and the PR attacks on women, men and the bi community really? People like you support division because it helps you feed your narrative. You and AH should be ashamed of the setback YOU have set for all survivors. #AmberHeardIsALiar #JohnnyDepp https://t.co/nX5XXyIpV2",DruidzIMVU
102,2022-06-13 07:28:18+00:00,1536249082842386432,"#JohnnyDepp  Question is, how do you shatter the bone by cutting off finger? https://t.co/Zxk76dbDXE",JasonLahme
103,2022-06-13 07:27:33+00:00,1536248893846999041,Petition Backfires!!!!!: Amber Heard Has Been Cut Out Of “Aquaman 2” Because Of Johnny Depp Trial? #AmberHeard #JohnnyDeppVsAmberHeardTrial #JohnnyDepp #Aquaman2 #AmberHeardlsAnAbuser  https://t.co/TOuUwFLIfj,TheDashMediaa
104,2022-06-13 07:27:09+00:00,1536248795767398401,"Career Not Hurting One Bit!?!!;  Amber Heard Allegedly Gets Tell-All Book Deal After Losing To Johnny Depp
 #AmberHeardlsAnAbuser #AmberHeard #JohnnyDepp #JohnnyDeppAmberHeardTrial #AmberHeardlsAnAbuser
   https://t.co/wmcuXUETXI",TheDashMediaa
